matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,uid_avgStep,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,matrix_subject1v3
0,-6.195253047967186,1,0.0010396832151139,0,0,1,1,3,-6.2064961395413665,0,0,-3,0,11,0
0,-7.146302413206516,1,-0.0020974229626131,0,0,1,1,5,-10.283405639941366,0,0,-4,0,0,0
0,-9.468368641772383,0,-0.0008875177608746,0,0,0,1,1,-9.995723567489584,0,0,-3,0,2,0
0,-8.473297032045114,1,-9.91625429102869e-05,0,0,1,0,5,-7.98082054694732,0,0,-3,0,2,0
0,-6.256071788002225,0,0.0002464621559416,0,0,0,1,1,-6.751613271442842,0,1,-3,0,1,1
0,-6.794785443308052,0,-0.0001095416438248,0,0,0,0,1,-10.40118867559775,0,1,-3,0,1,1
0,-6.549269594239308,1,0.0002972883144941,0,1,1,0,4,-7.768101512968994,0,0,-1,0,2,0
0,-8.516647472918727,0,0.0011469824478412,0,1,0,1,8,-8.609429206369693,0,1,-1,0,1,0
0,-10.940185176330436,1,0.0001379233008727,0,0,0,0,6,-9.7506011094566,0,0,-3,0,0,0
0,-6.794785443308052,0,0.0006599739788264,0,1,0,0,2,-6.801595912310578,0,0,-1,0,1,0
0,-6.855410065124486,1,0.0003538753635068,0,0,0,0,31,-10.940185176330436,0,0,-6,0,0,0
