matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,uid_var,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,matrix_subject1v3
0,-8.673967727507264,1,0,0,1,1,6,0.9368853801547772,-10.360366681077494,0,0,-6,0,0,0
0,-6.748368271299515,1,0,0,1,1,19,0.2434578840644157,-11.78748303671764,0,0,-11,0,0,0
0,-7.623405136480864,1,0,0,0,0,19,0.5102290521092812,-12.88609532538575,0,0,-4,0,0,1
0,-6.324357695868357,1,0,0,1,1,2,-0.7191995433571172,-8.727212242026077,0,0,-11,0,0,0
0,-10.023894444456282,1,0,0,0,1,3,-0.004980997635112,-10.806653783705913,0,0,-3,0,0,1
0,-6.324357695868357,1,0,0,1,1,2,-0.2506615109548598,-9.302576386929639,0,0,-4,0,0,0
0,-8.767058150573277,1,0,0,1,1,7,0.1482487323006189,-8.758960940340657,0,0,-3,0,2,0
0,-8.246523712680325,1,0,0,1,0,5,0.2146368792435495,-9.316562628904379,0,0,-3,0,12,0
0,-8.767058150573277,1,0,0,1,0,32,0.3134472635058394,-6.573453486692192,0,0,-3,0,0,0
0,-8.767058150573277,1,0,0,1,0,21,0.0682136969560698,-9.23543708409201,0,0,-3,0,2,0
0,-8.767058150573277,1,0,0,0,1,1,-0.2480057791604437,-10.178045124283539,0,0,-6,0,0,1
0,-8.767058150573277,1,0,0,0,1,1,0.3253078516705567,-8.688893377723941,0,0,-4,0,0,1
0,-6.324357695868357,1,0,0,1,1,36,-0.6021091755799564,-11.181347233147324,0,0,-4,0,0,0
0,-7.623405136480864,1,0,0,1,0,5,0.4775691883011603,-5.3795035453149085,0,0,-3,0,2,0
0,-9.772580016175375,1,0,0,0,1,1,-1.0469375452796503,-11.014293148484159,0,0,-11,0,0,1
0,-8.609429206369693,1,0,0,0,1,3,-0.0262001140511554,-8.588809919166959,0,0,-9,0,0,1
0,-6.195253047967186,1,0,0,1,0,5,0.3672011854293426,-8.348133889091107,0,0,-8,0,0,0
0,-9.222533679256102,1,0,0,1,1,12,0.3450979909264191,-12.480630217277586,0,0,-7,0,0,0
0,-9.07943283561543,1,0,0,1,1,20,0.0222583764386925,-11.094335856157695,0,0,-13,0,0,0
0,-10.940185176330436,1,0,0,1,1,1,6.5650218689449495,-10.488200052587379,0,0,-3,0,3,0
0,-7.829849520037441,1,0,0,1,0,30,0.2264251248057274,-5.3795035453149085,0,0,-3,0,3,0
0,-9.89036305183176,1,0,0,1,1,14,-0.1323132289647475,-9.795052872027433,0,0,-9,0,0,0
0,-8.767058150573277,1,0,0,1,1,53,-0.0465752541516089,-8.87876214015328,0,0,-5,0,0,0
0,-8.767058150573277,1,0,0,1,0,7,0.2902140932097339,-12.88609532538575,0,0,-8,0,0,0
0,-8.954269692661423,1,0,0,1,1,18,-0.4680167595504905,-6.855410065124486,0,0,-3,0,1,0
