matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,uid_iphrase,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,matrix_subject1v3
0,-9.89036305183176,1,0,0,1,1,14,0.002131646855901,-9.795052872027433,0,0,-9,0,0,0
0,-8.767058150573277,1,0,0,1,1,53,0.1214643472998207,-8.87876214015328,0,0,-5,0,0,0
0,-8.767058150573277,1,0,0,1,0,7,-0.009767917016918,-12.88609532538575,0,0,-8,0,0,0
0,-8.954269692661423,1,0,0,1,1,18,-0.1007549269536674,-6.855410065124486,0,0,-3,0,1,0
0,-10.283405639941366,1,0,0,0,1,1,-0.0524906642912398,-9.436107779554161,0,0,-5,0,0,1
0,-6.256071788002225,0,0,0,1,0,10,-0.007052018182973,-5.3795035453149085,0,1,-4,0,1,0
0,-9.468368641772383,0,0,0,1,0,3,-0.0160381363990603,-7.762131345982491,0,1,-3,0,1,0
0,-6.855410065124486,0,0,1,1,1,3,0.0808371048315272,-9.014894314477859,0,1,-1,0,1,0
0,-6.794785443308052,0,0,0,1,1,15,0.1196192239451667,-6.60476359492065,0,0,-18,0,1,0
0,-9.667219500517549,1,0,0,1,1,18,0.0862659313010447,-7.508504777943205,0,0,-5,0,0,0
0,-6.748368271299515,1,0,0,1,0,27,-0.0679869176368223,-11.969804593511594,0,0,-7,0,0,0
0,-9.627998787364268,1,0,0,1,0,8,0.092646021742885,-8.609429206369693,0,0,-4,0,0,0
0,-7.829849520037441,1,0,1,1,1,2,0.0945073349962417,-10.178045124283539,0,0,-1,0,1,0
0,-6.549269594239308,1,0,1,1,1,22,0.0819998955147134,-11.78748303671764,0,0,-1,0,1,0
0,-6.549269594239308,1,0,1,1,0,13,0.1003995170832676,-9.729094904235636,0,0,7,0,0,0
0,-6.794785443308052,1,0,1,1,0,12,-0.1786434768388669,-5.810286461407363,0,0,-1,0,2,0
1,-6.195253047967186,0,0,1,0,1,1,-0.0445607347244566,-6.2064961395413665,0,1,-1,0,1,0
