matrix_subject,frequency_matrix_verb,word_form_similarity,frequency_CC_subject_head,subject_form_CC_subject,position_matrix_verb,length_CC_remainder,length_CC_onset,length_matrix_verb_to_CC,that,uid,genre
3,-8.139404046158313,0,-8.714768191061875,3,2,0,1,-3,1,1.3862943611198906,47
3,-8.139404046158313,0,-3.4125694778058655,2,2,0,1,-9,0,3.8501476017100584,47
4,-10.624310695946313,0,-7.190323491461167,3,8,0,1,-1,0,3.960813169597578,8
1,-6.199464064089503,0,-6.742746898002876,3,22,0,1,-1,0,0.9207918647549467,8
4,-6.199464064089503,0,-5.181892985424519,3,9,0,1,9,0,5.82600010738045,8
4,-6.199464064089503,0,-6.542544915931073,3,9,0,1,-1,0,0.9207918647549467,8
4,-4.6980515589636065,0,-7.328473829941984,1,2,0,1,-14,0,10,8
1,-7.328473829941984,0,-6.415893677464364,1,19,0,1,-4,1,10,8
1,-6.199464064089503,0,-6.742746898002876,3,11,0,1,11,0,0.9207918647549467,8
4,-7.747925180024889,0,-6.742746898002876,3,10,0,1,10,0,1.864784604242945,8
3,-6.199464064089503,0,-6.742746898002876,1,13,0,1,13,0,0.9207918647549467,8
4,-8.139404046158313,0,-4.6980515589636065,3,0,0,1,-1,0,1.3862943611198906,8
3,-6.149818833600338,0,-4.6980515589636065,4,1,0,2,-8,1,5.308267697401205,111
3,-9.931163515386368,0,-7.366214157924831,3,32,0,1,24,0,10,111
3,-10.911992768398093,0,-9.931163515386368,3,1,0,1,-6,0,10,111
3,-9.931163515386368,0,-7.190323491461167,3,5,0,1,-14,0,1.3609765531356008,111
3,-9.931163515386368,0,-3.4125694778058655,3,25,0,1,-1,0,5.308267697401205,111
4,-9.931163515386368,0,-3.4125694778058655,3,11,0,1,-1,0,5.308267697401205,111
4,-7.061845166688036,0,-3.4125694778058655,3,31,0,1,-1,0,5.308267697401205,111
3,-9.931163515386368,0,-3.4125694778058655,3,9,0,1,9,0,5.308267697401205,111
4,-12.010605057066204,0,-3.4125694778058655,3,6,0,1,-1,0,5.308267697401205,111
4,-6.702337359664999,0,-3.4125694778058655,3,11,0,1,-4,0,5.308267697401205,111
3,-9.445655699604668,0,-7.851721973706532,3,10,0,1,10,0,1.791759469228055,78
4,-6.149818833600338,0,-4.6980515589636065,3,0,0,1,-3,1,10,125
4,-10.624310695946313,0,-3.4125694778058655,3,8,0,1,-1,0,3.8501476017100584,125
4,-6.149818833600338,0,-7.190323491461167,3,20,0,1,-1,0,10,125
3,-7.257014865959839,0,-9.931163515386368,4,8,0,0,8,0,3.960813169597578,125
1,-6.542544915931073,0,-4.6980515589636065,4,32,0,2,-3,1,1.9416996165189697,155
4,-9.302554855963994,0,-3.4125694778058655,4,52,0,2,8,0,10,155
1,-7.083351371908999,0,-7.899731192892893,1,12,0,1,-5,1,10,155
4,-6.149818833600338,0,-4.6980515589636065,4,1,0,3,-3,1,5.308267697401205,155
1,-10.911992768398093,0,-5.181892985424519,4,14,0,0,-1,0,1.2039728043259361,155
4,-7.747925180024889,0,-4.6980515589636065,1,32,0,1,-1,0,1.766441661243765,155
1,-8.098582051638058,0,-6.542544915931073,4,2,0,0,-9,0,2.70805020110221,155
1,-6.542544915931073,0,-9.066166077899764,1,15,0,1,6,0,1.9416996165189697,155
1,-6.542544915931073,0,-4.6980515589636065,4,15,0,2,-3,1,10,155
4,-6.199464064089503,0,-5.181892985424519,2,10,0,1,10,0,10,159
4,-12.010605057066204,0,-6.199464064089503,4,2,0,0,-6,0,10,159
4,-6.199464064089503,0,-3.4125694778058655,1,9,0,1,-1,0,5.2390980068880655,159
1,-6.149818833600338,0,-9.302554855963994,4,12,0,5,12,0,1.766441661243765,159
1,-7.328473829941984,0,-8.347043410936557,4,4,0,0,-2,0,1.54663701119507,159
4,-6.199464064089503,0,-7.257014865959839,2,3,0,1,-1,0,0.9207918647549467,129
4,-7.916260494844103,0,-7.090624131238079,3,10,0,1,-3,1,3.3141860046725258,129
3,-3.4125694778058655,0,-7.899731192892893,4,16,0,2,-3,1,1.0045833390198333,129
4,-6.649312891356779,1,-3.4125694778058655,4,22,0,2,-1,0,5.308267697401205,129
3,-3.4125694778058655,0,-6.415893677464364,3,16,0,1,-17,1,2.833213344056216,129
4,-6.986724536219928,0,-6.1757943200035985,2,13,0,1,-1,0,4.976733742420574,129
4,-9.371547727450945,0,-5.181892985424519,1,2,0,1,-1,0,10,129
4,-6.199464064089503,0,-6.415893677464364,3,11,0,1,11,0,5.82600010738045,129
2,-6.649312891356779,0,-5.181892985424519,1,1,0,1,-1,0,1.766441661243765,129
4,-6.199464064089503,0,-6.649312891356779,1,8,0,1,8,0,0.9207918647549467,129
1,-6.649312891356779,0,-5.181892985424519,3,2,0,1,-1,0,10,129
1,-6.649312891356779,0,-8.297032990361895,4,2,0,1,-1,0,1.0045833390198333,129
4,-8.297032990361895,0,-11.317457876506259,3,4,0,1,-1,0,10,129
3,-11.317457876506259,0,-8.832551226718259,4,7,0,0,-3,0,10,129
4,-8.832551226718259,0,-3.4125694778058655,3,11,0,1,-3,0,3.8501476017100584,129
4,-6.199464064089503,0,-10.624310695946313,1,3,0,1,-1,0,0.9207918647549467,52
4,-6.199464064089503,0,-6.08101591367631,4,3,0,11,-3,1,0.9207918647549467,52
1,-6.199464064089503,0,-6.404802990770206,3,12,0,1,12,0,0.9207918647549467,52
3,-6.199464064089503,0,-3.4125694778058655,1,18,0,1,18,0,5.2390980068880655,52
1,-9.612709784267834,0,-10.218845587838148,1,1,0,2,-3,1,0.6061358035703156,52
1,-6.199464064089503,0,-7.158574793146586,3,8,0,1,8,0,0.9207918647549467,52
4,-8.203942567295885,0,-7.851721973706532,4,5,0,2,-3,1,2.1972245773362196,100
4,-8.203942567295885,0,-9.445655699604668,3,5,0,1,-15,1,10,100
3,-6.149818833600338,0,-7.385632243781933,3,1,0,1,-3,1,1.766441661243765,100
3,-6.149818833600338,0,-6.702337359664999,4,1,0,2,-7,0,1.766441661243765,100
4,-6.649312891356779,0,-5.879378567583063,4,2,0,2,-1,0,10,100
3,-6.649312891356779,0,-9.238016334826423,3,1,0,1,-3,1,1.0045833390198333,100
4,-8.576617852581057,0,-3.4125694778058655,3,9,0,1,-1,0,10,100
3,-6.08101591367631,0,-4.6980515589636065,3,10,0,1,-3,1,4.382026634673881,100
